grade,subject_fa,grade_fa,file,size_bytes,source_url,maktab93_page
10,"كمپيوتر","صنف دهم","Grade-10/G10-Dr-Computer.pdf",16594289,"https://drive.usercontent.google.com/download?id=168Zf7ZsSnVORtcLQld6YJU0flyOoHeFp&export=download","https://www.maktab93.com/download.php?id=186"
10,"جيولوژي","صنف دهم","Grade-10/G10-Dr-Geology.pdf",13720743,"https://drive.usercontent.google.com/download?id=1ZoEh5AwgLo8EFPdxMFwkjbyuBdPavy2G&export=download","https://www.maktab93.com/download.php?id=187"
10,"دری","صنف دهم","Grade-10/G10-Dr-Dari.pdf",12824135,"https://drive.usercontent.google.com/download?id=1zvIWnU-ReWZbsp2F2J5ewS5LE5L8Ok7s&export=download","https://www.maktab93.com/download.php?id=188"
10,"تفسیر","صنف دهم","Grade-10/G10-Dr-Tafseer.pdf",5031291,"https://moe.gov.af/sites/default/files/2020-03/G10-Dr-Tafseer.pdf","https://www.maktab93.com/download.php?id=189"
10,"بیالوژی","صنف دهم","Grade-10/G10-Dr-Biology.pdf",11849292,"https://drive.usercontent.google.com/download?id=1d4-X9S7jqV9jfaV7g03_qpioHbMnjF_k&export=download","https://www.maktab93.com/download.php?id=190"
10,"پشتو","صنف دهم","Grade-10/G10-Dr-Pashto.pdf",20243874,"https://drive.usercontent.google.com/download?id=19Kg5LzdGKuj2Vkc5CJVLXWTTTeDVgT9p&export=download","https://www.maktab93.com/download.php?id=191"
10,"جغرافیه","صنف دهم","Grade-10/G10-Dr-Geography.pdf",19615315,"https://drive.usercontent.google.com/download?id=1wKQNkuPVfFPDdkdjfvVTXI2fNKGohKor&export=download","https://www.maktab93.com/download.php?id=192"
10,"تاریخ","صنف دهم","Grade-10/G10-Dr-History.pdf",9596721,"https://drive.usercontent.google.com/download?id=1IMIfUjSi7Cty-HC0nv5UWp7iUE_nzf0E&export=download","https://www.maktab93.com/download.php?id=193"
10,"فزیک","صنف دهم","Grade-10/G10-Dr-physic.pdf",10876810,"https://drive.usercontent.google.com/download?id=1ndxATkZLLI6ycFWGEbPz9GOO834bsISE&export=download","https://www.maktab93.com/download.php?id=225"
10,"کیمیا","صنف دهم","Grade-10/G10-Dr-Chemistry.pdf",9763446,"https://drive.usercontent.google.com/download?id=1pq0JzgpN-7fH-Mm1q_N_4nW0MOKDJwyQ&export=download","https://www.maktab93.com/download.php?id=226"
10,"م.مدنی","صنف دهم","Grade-10/G10-Dr-Civic.pdf",6737856,"https://drive.usercontent.google.com/download?id=1psjOc8rVNND2blYVnQT0MHfRcbIwRbHw&export=download","https://www.maktab93.com/download.php?id=227"
10,"انګلیسي","صنف دهم","Grade-10/G10-Ps-English.pdf",20097300,"https://drive.usercontent.google.com/download?id=1q85sFRp5XsqHTSBQjFPpw5U_LJFWFY4Y&export=download","https://www.maktab93.com/download.php?id=228"
9,"علوم دینی ح","صنف نهم","Grade-09/G9-Dr-Islamic_Study_Hanafi.pdf",7495118,"https://drive.usercontent.google.com/download?id=1DP8RBFe3epC23sCUPdzpPN7d6IZryz8q&export=download","https://www.maktab93.com/download.php?id=171"
9,"علوم دینی ج","صنف نهم","Grade-09/G9-Dr-Islamic_Study_Jafari.pdf",8600593,"https://drive.usercontent.google.com/download?id=1tOxqv_Pq2cFLoFScvoo20Mzeyx4EAPnA&export=download","https://www.maktab93.com/download.php?id=172"
